PM2.5_ugm3,PM10_ugm3,CO_ppm,NO2_ppb,SO2_ppb,O3_ppb,hour,day_of_year,AQI,AQI_Category,Dominant_Pollutant
18.84,46.25,1.442,48.73,10.73,77.85,4,4,125,Unhealthy for Sensitive Groups,O3
29.36,58.87,1.167,22.69,16.32,78.65,5,4,128,Unhealthy for Sensitive Groups,O3
32.74,61.91,0.569,49.17,28.08,84.98,6,4,150,Unhealthy for Sensitive Groups,O3
31.82,58.21,1.091,27.94,24.43,99.68,7,4,186,Unhealthy,O3
39.51,75.93,1.123,52.01,17.54,61.8,8,4,111,Unhealthy for Sensitive Groups,PM2.5
46.24,85.65,1.291,67.1,17.68,83.0,9,4,143,Unhealthy for Sensitive Groups,O3
59.79,95.26,1.681,48.26,20.78,68.56,10,4,153,Unhealthy,PM2.5
47.16,85.44,1.515,49.03,22.85,69.26,11,4,130,Unhealthy for Sensitive Groups,PM2.5
48.19,73.85,1.537,58.1,26.53,99.05,12,4,185,Unhealthy,O3
45.17,82.28,1.942,48.3,17.99,73.75,13,4,125,Unhealthy for Sensitive Groups,PM2.5
29.35,47.06,1.303,68.58,12.22,69.52,14,4,98,Moderate,O3
42.8,107.51,2.014,50.41,21.06,51.43,15,4,119,Unhealthy for Sensitive Groups,PM2.5
41.29,73.84,1.179,42.8,17.99,52.59,16,4,115,Unhealthy for Sensitive Groups,PM2.5
57.94,87.45,1.32,37.7,13.77,21.12,17,4,152,Unhealthy,PM2.5
33.94,59.49,1.116,30.67,21.76,44.4,18,4,97,Moderate,PM2.5
35.14,69.48,1.144,30.62,19.21,22.82,19,4,99,Moderate,PM2.5
29.88,73.87,1.153,30.49,21.81,24.69,20,4,88,Moderate,PM2.5
18.61,26.42,1.076,26.64,15.8,36.07,21,4,65,Moderate,PM2.5
35.41,44.74,0.662,23.03,22.71,37.18,22,4,500,Hazardous,PM2.5
31.22,65.99,0.515,49.4,13.69,39.63,23,4,91,Moderate,PM2.5
31.25,39.68,1.591,17.7,16.21,31.37,0,5,91,Moderate,PM2.5
18.01,27.18,0.707,29.88,19.13,53.23,1,5,63,Moderate,PM2.5
37.57,64.54,1.098,35.53,29.05,69.61,2,5,106,Unhealthy for Sensitive Groups,PM2.5
16.83,29.47,0.463,37.82,24.27,62.44,3,5,75,Moderate,O3
34.96,71.19,0.936,33.41,25.73,88.15,4,5,157,Unhealthy,O3
50.36,82.45,1.069,34.49,27.43,72.49,5,5,138,Unhealthy for Sensitive Groups,PM2.5
27.68,46.53,1.342,44.52,38.36,86.05,6,5,151,Unhealthy,O3
33.84,60.73,0.476,45.77,20.55,104.33,7,5,198,Unhealthy,O3
41.74,76.93,1.43,43.41,27.45,83.19,8,5,144,Unhealthy for Sensitive Groups,O3
39.13,71.6,1.11,32.87,25.41,99.52,9,5,186,Unhealthy,O3
32.45,63.63,1.609,45.71,25.32,105.73,10,5,500,Hazardous,O3
46.47,93.77,1.237,40.13,29.22,82.92,11,5,143,Unhealthy for Sensitive Groups,O3
37.78,72.72,1.303,45.33,18.25,69.73,12,5,107,Unhealthy for Sensitive Groups,PM2.5
49.71,94.92,1.466,51.92,17.85,60.04,13,5,136,Unhealthy for Sensitive Groups,PM2.5
37.5,48.51,1.196,53.98,21.94,73.05,14,5,500,Hazardous,NO2
55.55,100.6,1.312,66.29,19.43,65.0,15,5,151,Unhealthy,PM2.5
34.68,68.17,1.022,40.63,21.94,59.49,16,5,98,Moderate,PM2.5
35.79,73.17,0.743,50.85,28.16,38.46,17,5,102,Unhealthy for Sensitive Groups,PM2.5
42.11,67.49,1.505,43.06,17.95,44.4,18,5,117,Unhealthy for Sensitive Groups,PM2.5
22.99,33.47,0.718,49.85,18.82,30.53,19,5,74,Moderate,PM2.5
32.08,50.86,0.966,39.76,21.22,21.17,20,5,93,Moderate,PM2.5
38.51,75.75,1.171,21.43,19.2,42.26,21,5,108,Unhealthy for Sensitive Groups,PM2.5
13.49,36.69,0.704,12.38,10.77,50.36,22,5,54,Moderate,PM2.5
26.76,43.28,0.605,31.52,17.44,28.58,23,5,82,Moderate,PM2.5
27.08,59.65,0.908,22.72,23.85,34.61,0,6,83,Moderate,PM2.5
31.62,58.41,1.188,18.61,27.6,52.64,1,6,92,Moderate,PM2.5
16.55,28.29,0.537,16.93,14.64,69.56,2,6,99,Moderate,O3
17.58,29.11,0.9,33.12,14.62,56.43,3,6,63,Moderate,PM2.5
34.54,71.13,0.5,49.08,20.56,77.27,4,6,123,Unhealthy for Sensitive Groups,O3
35.32,67.49,0.989,32.81,10.03,75.31,5,6,116,Unhealthy for Sensitive Groups,O3
37.73,95.22,1.21,45.9,18.19,92.99,6,6,169,Unhealthy,O3
41.27,64.05,1.037,42.08,11.73,81.0,7,6,136,Unhealthy for Sensitive Groups,O3
35.64,70.37,1.243,33.11,27.26,97.72,8,6,181,Unhealthy,O3
45.16,74.93,1.032,55.83,16.57,87.4,9,6,155,Unhealthy,O3
47.35,74.79,1.535,39.45,28.68,76.61,10,6,130,Unhealthy for Sensitive Groups,PM2.5
40.36,72.51,1.864,51.81,25.98,81.85,11,6,139,Unhealthy for Sensitive Groups,O3
61.36,112.1,1.231,48.58,17.18,55.62,12,6,154,Unhealthy,PM2.5
49.86,124.77,1.361,60.52,15.05,62.17,13,6,136,Unhealthy for Sensitive Groups,PM2.5
35.47,61.64,1.663,39.81,19.44,63.37,14,6,500,Hazardous,PM2.5
48.55,73.83,1.818,52.39,19.89,34.52,15,6,133,Unhealthy for Sensitive Groups,PM2.5
33.28,63.18,0.932,37.6,22.14,19.29,16,6,96,Moderate,PM2.5
44.79,55.73,1.243,37.99,16.53,15.39,17,6,124,Unhealthy for Sensitive Groups,PM2.5
44.99,79.88,1.285,5.0,24.14,47.29,18,6,124,Unhealthy for Sensitive Groups,PM2.5
26.38,47.68,1.076,57.82,21.74,30.25,19,6,81,Moderate,PM2.5
38.07,78.06,0.277,39.51,18.71,24.68,20,6,107,Unhealthy for Sensitive Groups,PM2.5
31.45,68.29,1.096,23.84,16.85,40.47,21,6,92,Moderate,PM2.5
33.02,53.39,1.344,18.36,19.49,29.97,22,6,95,Moderate,PM2.5
40.54,71.17,0.887,23.45,16.33,41.47,23,6,113,Unhealthy for Sensitive Groups,PM2.5
23.13,32.43,0.531,35.17,20.77,45.26,0,7,74,Moderate,PM2.5
19.43,21.43,0.698,9.49,20.91,47.53,1,7,66,Moderate,PM2.5
19.41,38.66,1.419,28.19,21.79,62.94,2,7,77,Moderate,O3
21.71,23.8,1.218,49.22,29.31,75.5,3,7,117,Unhealthy for Sensitive Groups,O3
29.85,48.75,1.212,22.66,19.82,73.15,4,7,109,Unhealthy for Sensitive Groups,O3
35.79,52.48,1.214,37.7,25.5,76.61,5,7,121,Unhealthy for Sensitive Groups,O3
38.05,75.1,1.002,62.03,21.63,82.56,6,7,141,Unhealthy for Sensitive Groups,O3
45.24,103.05,1.233,49.43,19.29,66.0,7,7,125,Unhealthy for Sensitive Groups,PM2.5
41.32,58.76,1.357,47.26,19.89,92.83,8,7,169,Unhealthy,O3
55.07,76.89,1.619,53.55,20.19,76.89,9,7,500,Hazardous,NO2
43.04,75.97,1.964,46.38,21.88,92.28,10,7,167,Unhealthy,O3
67.99,122.57,1.883,64.59,15.68,80.31,11,7,157,Unhealthy,PM2.5
51.6,95.5,1.134,48.01,13.15,76.05,12,7,141,Unhealthy for Sensitive Groups,PM2.5
39.37,65.51,1.615,32.0,23.75,74.77,13,7,114,Unhealthy for Sensitive Groups,O3
36.59,63.45,1.733,46.48,24.97,50.73,14,7,104,Unhealthy for Sensitive Groups,PM2.5
47.3,89.56,1.64,38.82,24.21,55.93,15,7,130,Unhealthy for Sensitive Groups,PM2.5
39.43,83.46,1.191,43.19,21.26,47.68,16,7,111,Unhealthy for Sensitive Groups,PM2.5
44.34,56.34,2.167,40.51,24.32,36.94,17,7,123,Unhealthy for Sensitive Groups,PM2.5
39.63,66.9,0.817,51.97,24.05,24.74,18,7,111,Unhealthy for Sensitive Groups,PM2.5
32.48,61.02,0.782,43.85,24.42,36.97,19,7,94,Moderate,PM2.5
23.69,31.63,1.09,36.63,16.18,37.03,20,7,75,Moderate,PM2.5
16.12,49.79,1.58,31.49,15.0,32.16,21,7,59,Moderate,PM2.5
22.96,33.7,0.637,19.02,18.54,23.32,22,7,74,Moderate,PM2.5
32.31,57.66,0.773,6.6,20.39,33.51,23,7,93,Moderate,PM2.5
26.89,55.07,1.163,29.13,19.34,44.4,0,8,82,Moderate,PM2.5
15.57,20.94,0.847,36.36,11.17,59.12,1,8,64,Moderate,O3
28.0,28.25,0.788,28.52,29.16,44.17,2,8,84,Moderate,PM2.5
31.42,51.4,1.115,26.17,19.18,62.13,3,8,92,Moderate,PM2.5
23.5,54.65,1.102,38.65,21.41,70.97,4,8,500,Hazardous,PM10
34.4,57.87,1.416,36.06,26.77,80.38,5,8,134,Unhealthy for Sensitive Groups,O3
36.43,55.41,1.587,56.86,8.82,72.97,6,8,108,Unhealthy for Sensitive Groups,O3
29.61,64.4,1.385,55.43,17.99,86.8,7,8,153,Unhealthy,O3
44.22,75.62,1.468,55.6,18.61,86.9,8,8,153,Unhealthy,O3
48.08,80.41,1.519,56.06,18.87,78.6,9,8,132,Unhealthy for Sensitive Groups,PM2.5
53.97,98.94,1.659,37.49,19.68,84.8,10,8,149,Unhealthy for Sensitive Groups,O3
54.81,107.91,1.564,58.22,27.78,75.8,11,8,149,Unhealthy for Sensitive Groups,PM2.5
35.73,92.89,1.56,55.76,23.92,79.96,12,8,132,Unhealthy for Sensitive Groups,O3
38.88,79.91,1.907,57.66,25.34,58.91,13,8,109,Unhealthy for Sensitive Groups,PM2.5
49.42,102.88,1.967,55.32,20.78,60.9,14,8,135,Unhealthy for Sensitive Groups,PM2.5
47.7,79.79,1.002,53.01,13.55,44.15,15,8,500,Hazardous,NO2
45.48,69.55,1.383,73.01,10.15,39.0,16,8,126,Unhealthy for Sensitive Groups,PM2.5
69.58,125.98,1.087,42.34,12.9,41.76,17,8,158,Unhealthy,PM2.5
40.53,74.24,1.107,49.36,22.35,36.37,18,8,113,Unhealthy for Sensitive Groups,PM2.5
42.25,63.11,1.228,32.18,20.71,26.85,19,8,118,Unhealthy for Sensitive Groups,PM2.5
38.2,66.65,1.221,41.91,19.5,27.31,20,8,108,Unhealthy for Sensitive Groups,PM2.5
33.54,65.17,0.912,40.91,18.71,16.49,21,8,96,Moderate,PM2.5
24.1,47.7,0.314,33.25,30.61,48.05,22,8,76,Moderate,PM2.5
31.61,62.95,0.563,45.1,16.43,45.66,23,8,92,Moderate,PM2.5
19.07,37.82,1.109,19.16,25.26,51.51,0,9,66,Moderate,PM2.5
23.73,36.63,0.1,23.54,20.63,36.29,1,9,75,Moderate,PM2.5
22.82,34.92,1.244,31.73,20.31,54.05,2,9,500,Hazardous,O3
29.08,37.96,1.102,40.32,26.5,64.42,3,9,87,Moderate,PM2.5
49.19,109.95,1.415,35.79,27.93,55.69,4,9,135,Unhealthy for Sensitive Groups,PM2.5
18.34,33.17,1.047,49.75,19.42,90.11,5,9,162,Unhealthy,O3
41.57,72.13,0.582,33.38,24.61,100.52,6,9,188,Unhealthy,O3
25.98,35.62,1.422,31.7,22.44,109.6,7,9,205,Very Unhealthy,O3
37.72,103.12,1.762,49.08,20.65,79.54,8,9,131,Unhealthy for Sensitive Groups,O3
52.45,81.52,1.732,47.71,21.64,90.15,9,9,162,Unhealthy,O3
45.97,77.6,1.313,55.82,17.18,99.21,10,9,185,Unhealthy,O3
37.91,73.23,1.574,51.32,19.09,78.68,11,9,128,Unhealthy for Sensitive Groups,O3
41.18,81.33,1.4,48.6,17.71,69.33,12,9,115,Unhealthy for Sensitive Groups,PM2.5
51.97,105.05,1.302,50.84,25.12,49.1,13,9,142,Unhealthy for Sensitive Groups,PM2.5
39.61,92.99,1.798,50.68,20.14,71.33,14,9,111,Unhealthy for Sensitive Groups,PM2.5
45.47,87.91,1.095,45.44,14.13,52.04,15,9,126,Unhealthy for Sensitive Groups,PM2.5
41.86,62.67,1.112,43.97,17.0,37.71,16,9,117,Unhealthy for Sensitive Groups,PM2.5
33.67,57.52,0.962,39.07,4.62,41.63,17,9,96,Moderate,PM2.5
53.23,99.51,0.753,48.57,18.14,35.55,18,9,145,Unhealthy for Sensitive Groups,PM2.5
38.35,93.85,1.151,38.83,20.81,32.7,19,9,108,Unhealthy for Sensitive Groups,PM2.5
14.47,10.0,1.368,56.57,19.94,27.83,20,9,56,Moderate,PM2.5
29.92,68.28,0.89,33.12,30.52,47.25,21,9,88,Moderate,PM2.5
21.41,40.7,0.437,24.1,23.49,32.68,22,9,71,Moderate,PM2.5
32.44,68.45,1.104,55.12,23.27,54.98,23,9,500,Hazardous,O3
19.0,32.97,1.346,32.14,12.47,50.64,0,10,66,Moderate,PM2.5
24.79,34.52,0.658,38.31,18.86,55.75,1,10,78,Moderate,PM2.5
30.83,64.51,0.745,35.53,18.25,58.87,2,10,90,Moderate,PM2.5
35.45,71.66,1.1,37.74,16.75,77.5,3,10,500,Hazardous,PM2.5
21.17,49.76,1.507,39.36,16.69,76.13,4,10,119,Unhealthy for Sensitive Groups,O3
30.71,55.12,0.951,25.87,11.64,71.89,5,10,104,Unhealthy for Sensitive Groups,O3
32.4,51.12,0.8,43.68,14.31,76.33,6,10,120,Unhealthy for Sensitive Groups,O3
33.78,42.1,1.483,29.86,25.06,93.2,7,10,170,Unhealthy,O3
55.75,110.19,1.62,44.26,19.97,80.93,8,10,151,Unhealthy,PM2.5
47.12,89.9,1.456,41.23,18.15,88.36,9,10,157,Unhealthy,O3
35.52,52.34,1.344,53.97,20.66,96.55,10,10,500,Hazardous,NO2
54.03,90.79,1.846,54.93,26.52,84.25,11,10,147,Unhealthy for Sensitive Groups,PM2.5
64.04,109.66,1.718,56.81,20.71,67.78,12,10,155,Unhealthy,PM2.5
54.95,81.11,1.317,54.46,23.39,81.86,13,10,149,Unhealthy for Sensitive Groups,PM2.5
33.45,50.4,1.526,44.32,16.45,65.48,14,10,96,Moderate,PM2.5
40.0,58.4,1.049,45.88,17.59,62.41,15,10,112,Unhealthy for Sensitive Groups,PM2.5
51.76,88.23,1.586,55.2,22.46,22.32,16,10,141,Unhealthy for Sensitive Groups,PM2.5
33.35,51.16,1.215,53.78,30.15,42.1,17,10,500,Hazardous,NO2
39.75,52.03,1.069,28.53,27.83,42.44,18,10,111,Unhealthy for Sensitive Groups,PM2.5
39.59,95.52,1.097,21.58,23.6,48.03,19,10,111,Unhealthy for Sensitive Groups,PM2.5
23.35,57.07,1.032,26.73,21.44,15.36,20,10,75,Moderate,PM2.5
28.04,41.13,1.214,41.97,27.69,43.08,21,10,85,Moderate,PM2.5
5.0,12.27,1.066,41.76,24.66,50.46,22,10,47,Good,O3
17.51,36.54,0.805,19.16,9.22,18.61,23,10,62,Moderate,PM2.5
23.4,56.42,1.069,31.07,15.48,49.79,0,11,75,Moderate,PM2.5
15.81,18.64,0.972,46.75,22.44,58.41,1,11,62,Moderate,O3
39.94,85.0,0.76,33.76,11.82,56.73,2,11,112,Unhealthy for Sensitive Groups,PM2.5
17.17,24.34,0.908,45.73,16.26,62.86,3,11,77,Moderate,O3
27.35,33.2,0.976,43.99,17.25,81.68,4,11,138,Unhealthy for Sensitive Groups,O3
34.54,70.87,1.258,27.79,19.47,75.06,5,11,115,Unhealthy for Sensitive Groups,O3
47.85,101.62,1.09,38.1,19.32,83.81,6,11,146,Unhealthy for Sensitive Groups,O3
27.65,80.83,1.176,43.45,19.31,97.1,7,11,180,Unhealthy,O3
51.07,77.53,1.971,47.04,24.88,107.54,8,11,203,Very Unhealthy,O3
44.1,87.77,1.736,57.65,19.43,94.36,9,11,173,Unhealthy,O3
37.9,63.3,1.284,54.48,18.83,87.32,10,11,154,Unhealthy,O3
50.54,100.37,1.719,22.23,14.01,76.05,11,11,138,Unhealthy for Sensitive Groups,PM2.5
48.81,70.2,1.596,38.87,25.87,64.89,12,11,134,Unhealthy for Sensitive Groups,PM2.5
42.04,60.52,1.665,29.72,17.4,78.86,13,11,129,Unhealthy for Sensitive Groups,O3
46.31,74.05,1.553,52.15,15.32,58.47,14,11,128,Unhealthy for Sensitive Groups,PM2.5
40.94,74.64,1.811,50.89,21.82,63.74,15,11,114,Unhealthy for Sensitive Groups,PM2.5
42.67,69.12,1.484,48.83,16.92,41.7,16,11,119,Unhealthy for Sensitive Groups,PM2.5
44.43,87.89,1.275,33.52,18.12,32.29,17,11,123,Unhealthy for Sensitive Groups,PM2.5
49.01,100.53,1.513,46.74,22.05,38.23,18,11,134,Unhealthy for Sensitive Groups,PM2.5
23.6,49.67,1.177,44.06,19.12,30.26,19,11,75,Moderate,PM2.5
47.93,105.71,1.056,21.45,32.31,17.94,20,11,132,Unhealthy for Sensitive Groups,PM2.5
13.0,28.38,1.04,16.85,20.38,49.2,21,11,53,Moderate,PM2.5
25.67,31.6,0.86,29.61,23.84,27.75,22,11,80,Moderate,PM2.5
30.5,71.26,0.855,46.33,11.04,48.06,23,11,90,Moderate,PM2.5
27.75,42.69,0.664,45.0,16.52,53.42,0,12,84,Moderate,PM2.5
20.9,48.54,0.627,34.04,15.39,39.64,1,12,69,Moderate,PM2.5
25.3,64.43,0.589,22.31,16.05,49.98,2,12,79,Moderate,PM2.5
24.76,50.05,0.528,40.38,22.9,64.75,3,12,83,Moderate,O3
26.26,29.31,0.756,29.48,26.0,66.34,4,12,88,Moderate,O3
40.4,61.71,1.055,29.22,22.54,98.48,5,12,183,Unhealthy,O3
39.29,86.6,1.231,18.56,19.69,83.98,6,12,146,Unhealthy for Sensitive Groups,O3
33.72,58.67,1.212,44.13,17.67,97.88,7,12,182,Unhealthy,O3
49.1,89.33,0.673,39.7,26.39,95.14,8,12,175,Unhealthy,O3
46.62,93.03,1.927,49.45,31.18,91.62,9,12,165,Unhealthy,O3
52.4,102.68,1.838,27.4,21.5,86.38,10,12,152,Unhealthy,O3
52.03,97.0,1.681,53.29,25.52,93.58,11,12,500,Hazardous,NO2
40.73,70.82,2.132,27.69,22.54,66.75,12,12,114,Unhealthy for Sensitive Groups,PM2.5
42.51,72.77,1.255,62.47,24.6,85.03,13,12,500,Hazardous,O3
51.88,103.68,2.078,55.61,15.0,47.13,14,12,141,Unhealthy for Sensitive Groups,PM2.5
49.05,94.93,1.165,45.7,18.38,60.05,15,12,134,Unhealthy for Sensitive Groups,PM2.5
41.73,72.03,1.452,51.63,22.8,30.95,16,12,116,Unhealthy for Sensitive Groups,PM2.5
40.2,85.35,0.911,33.33,26.88,35.63,17,12,113,Unhealthy for Sensitive Groups,PM2.5
